DATE_TIME,DC_POWER
00:00,140.57187499999998
00:15,140.57187499999998
00:30,140.57187499999998
00:45,140.57187499999998
01:00,121.21803278688523
01:15,121.21803278688523
01:30,121.21803278688523
01:45,121.21803278688523
02:00,115.14426229508197
02:15,115.14426229508197
02:30,115.14426229508197
02:45,115.14426229508197
03:00,104.54918032786884
03:15,104.54918032786884
03:30,104.54918032786884
03:45,104.54918032786884
04:00,88.01147540983607
04:15,88.01147540983607
04:30,88.01147540983607
04:45,88.01147540983607
05:00,77.15737704918033
05:15,77.15737704918033
05:30,77.15737704918033
05:45,77.15737704918033
06:00,76.89344262295083
06:15,76.89344262295083
06:30,76.89344262295083
06:45,76.89344262295083
07:00,55.84098360655738
07:15,55.84098360655738
07:30,55.84098360655738
07:45,55.84098360655738
08:00,46.92131147540984
08:15,46.92131147540984
08:30,46.92131147540984
08:45,46.92131147540984
09:00,47.38032786885246
09:15,47.38032786885246
09:30,47.38032786885246
09:45,47.38032786885246
10:00,48.24262295081967
10:15,48.24262295081967
10:30,48.24262295081967
10:45,48.24262295081967
11:00,55.255737704918026
11:15,55.255737704918026
11:30,55.255737704918026
11:45,55.255737704918026
12:00,63.64918032786885
12:15,63.64918032786885
12:30,63.64918032786885
12:45,63.64918032786885
13:00,74.9
13:15,74.9
13:30,74.9
13:45,74.9
14:00,82.71967213114755
14:15,82.71967213114755
14:30,82.71967213114755
14:45,82.71967213114755
15:00,122.4672131147541
15:15,122.4672131147541
15:30,122.4672131147541
15:45,122.4672131147541
16:00,161.98360655737704
16:15,161.98360655737704
16:30,161.98360655737704
16:45,161.98360655737704
17:00,254.7459016393443
17:15,254.7459016393443
17:30,254.7459016393443
17:45,254.7459016393443
18:00,247.4131147540984
18:15,247.4131147540984
18:30,247.4131147540984
18:45,247.4131147540984
19:00,212.84754098360654
19:15,212.84754098360654
19:30,212.84754098360654
19:45,212.84754098360654
20:00,283.5786885245902
20:15,283.5786885245902
20:30,283.5786885245902
20:45,283.5786885245902
21:00,284.4622950819672
21:15,284.4622950819672
21:30,284.4622950819672
21:45,284.4622950819672
22:00,207.64426229508194
22:15,207.64426229508194
22:30,207.64426229508194
22:45,207.64426229508194
23:00,160.61311475409838
23:15,160.61311475409838
23:30,160.61311475409838
23:45,160.61311475409838
